Company_name,Company_website,Rating_nr,Rating_recommend_to_friend,Number_of_reviews,Number_of_salaries,Number_of_interviews
 Booking.com ,www.workingatbooking.com,3.1, 58% recommended to a friend, 1.8k, 1.7k, 1.4k
 Philips ,www.philips.com,4.0, 78% recommended to a friend, 3.8k, 5.9k, 953
 Shell ,www.shell.com,3.9, 81% recommended to a friend, 3.9k, 3.7k, 1.4k
 Albert Heijn ,werk.ah.nl,3.7, 75% recommended to a friend, 310, 278, 39
 YoungCapital ,www.youngcapital.nl,4.3, 89% recommended to a friend, 280, 137, 25
 Delft University of Technology ,www.tudelft.nl,4.2, 90% recommended to a friend, 266, 363, 43
 KPN ,www.kpn.com,4.0, 83% recommended to a friend, 238, 418, 43
 ASML ,www.asml.com,4.0, 81% recommended to a friend, 490, 733, 233
 Accenture ,www.accenture.com,3.7, 75% recommended to a friend, 36k, 49k, 10k
 ABN AMRO ,www.abnamro.com,3.6, 63% recommended to a friend, 404, 599, 110
 Rabobank ,www.rabobank.com,3.7, 74% recommended to a friend, 397, 609, 76
 TomTom ,www.tomtom.com,3.5, 75% recommended to a friend, 402, 457, 126
 Capgemini ,www.capgemini.com,3.6, 74% recommended to a friend, 12k, 16k, 3.4k
 Unilever ,www.unilever.com,3.9, 83% recommended to a friend, 3.8k, 3.5k, 1.4k
 IBM ,www.ibm.com,3.6, 66% recommended to a friend, 40k, 64k, 7.4k
 TravelBird ,www.travelbird.com,4.0, 82% recommended to a friend, 164, 135, 48
 HEMA ,www.hema.nl,3.5, 67% recommended to a friend, 171, 84, 30
 Deloitte ,www.deloitte.com,3.8, 79% recommended to a friend, 25k, 65k, 9.5k
 TU/e ,www.tue.nl,4.4, 94% recommended to a friend, 157, 244, 31
 Coolblue ,www.coolblue.nl,4.1, 85% recommended to a friend, 159, 145, 75
 Cisco Systems ,www.cisco.com,4.0, 82% recommended to a friend, 15k, 22k, 3.2k
 Jumbo ,www.jumbo.com,3.9, 85% recommended to a friend, 149, 133, 25
 EY ,www.ey.com,3.7, 78% recommended to a friend, 19k, 30k, 7.2k
 Oracle ,www.oracle.com,3.4, 62% recommended to a friend, 19k, 32k, 4.0k
 NIKE ,jobs.nike.com,3.9, 79% recommended to a friend, 4.0k, 4.5k, 1.3k
 KLM ,www.klm.nl,3.9, 81% recommended to a friend, 150, 201, 43
 Liberty Global ,www.libertyglobal.com,3.4, 67% recommended to a friend, 175, 192, 29
 PwC ,www.pwc.com,3.8, 77% recommended to a friend, 19k, 36k, 7.5k
 Randstad ,www.randstad.com,4.3, 85% recommended to a friend, 2.0k, 1.5k, 382
 Heineken ,www.heinekeninternational.com,4.0, 88% recommended to a friend, 384, 375, 165
 Rijksuniversiteit Groningen ,www.rug.nl,4.3, 92% recommended to a friend, 134, 157, 19
 Erasmus University ,www.eur.nl,4.2, 91% recommended to a friend, 126, 117, 18
 PostNL ,www.postnl.nl,3.2, 73% recommended to a friend, 129, 157, 28
 KPMG ,us-jobs.kpmg.com,3.7, 77% recommended to a friend, 14k, 24k, 5.2k
 McDonald's ,www.mcdonalds.com,3.3, 55% recommended to a friend, 20k, 17k, 4.3k
 Universiteit Utrecht ,www.uu.nl,4.1, 89% recommended to a friend, 98, 133, 11
 SIRE ,www.sire-search.com,4.9, 97% recommended to a friend, 88, 47, 15
 Atos ,www.atos.net,3.1, 56% recommended to a friend, 3.9k, 3.8k, 715
 TNO ,www.tno.nl,4.0, 90% recommended to a friend, 97, 168, 18
 NXP Semiconductors ,www.nxp.com,3.6, 68% recommended to a friend, 704, 1.1k, 147
 University of Twente ,www.utwente.nl,4.3, 91% recommended to a friend, 99, 121, 17
 Tata Consultancy Services ,www.tcs.com,3.6, 75% recommended to a friend, 32k, 52k, 7.0k
 Sogeti ,www.sogeti.com,3.2, 54% recommended to a friend, 1.2k, 2.3k, 274
 Philips Lighting ,www.signify.com,3.3, 53% recommended to a friend, 514, 571, 109
 Vodafone ,www.vodafone.com,3.7, 73% recommended to a friend, 4.6k, 4.0k, 1.2k
 Microsoft ,www.microsoft.com,4.1, 86% recommended to a friend, 20k, 46k, 7.7k
 Bol.com ,banen.bol.com,4.1, 86% recommended to a friend, 79, 100, 20
 Maastricht University ,www.maastrichtuniversity.nl,4.2, 77% recommended to a friend, 91, 78, 6
 Elsevier ,www.elsevier.com,3.8, 77% recommended to a friend, 685, 1.1k, 171
 LeaseWeb ,www.leaseweb.com,3.3, 72% recommended to a friend, 86, 69, 19
 Cognizant Technology Solutions ,www.cognizant.com,3.6, 73% recommended to a friend, 25k, 36k, 5.3k
 Travix International ,www.travix.com,4.0, 80% recommended to a friend, 89, 51, 24
 Akzo Nobel Worldwide ,www.akzonobel.com,3.4, 63% recommended to a friend, 728, 971, 134
 TOPdesk ,www.topdesk.com,5.0, 100% recommended to a friend, 114, 63, 31
 Ziggo ,www.ziggo.com,3.8, 83% recommended to a friend, 66, 87, 6
 CGI ,www.cgi.com,3.4, 68% recommended to a friend, 5.4k, 8.6k, 1.5k
 Quintiq ,www.quintiq.com,3.1, 51% recommended to a friend, 239, 170, 89
 Bradford ,www.bradford-space.com,3.0, 100% recommended to a friend, 1, 1, --
 Backbase ,www.workatbackbase.com,3.6, 66% recommended to a friend, 81, 68, 92
 Catawiki ,www.catawiki.com,4.1, 81% recommended to a friend, 74, 41, 31
 Leiden University ,www.leiden.edu,4.1, 96% recommended to a friend, 71, 99, 8
 Media Markt ,www.mediamarkt.com,3.1, 53% recommended to a friend, 152, 229, 22
 Infosys ,www.infosys.com,3.6, 72% recommended to a friend, 29k, 85k, 6.5k
 IKEA ,www.ikea.com,4.0, 86% recommended to a friend, 2.8k, 2.9k, 1.0k
 Achmea ,www.achmea.nl,3.6, 78% recommended to a friend, 63, 171, 14
 Kraft Heinz Company ,www.kraftheinzcompany.com,2.9, 44% recommended to a friend, 3.0k, 3.3k, 691
 Unit4 ,www.unit4.com,3.7, 72% recommended to a friend, 238, 183, 31
 Ordina ,www.ordina.com,3.2, 64% recommended to a friend, 79, 128, 17
 Uber ,www.uber.com,4.2, 83% recommended to a friend, 5.9k, 3.1k, 2.4k
 Nederlandse Spoorwegen ,www.ns.nl,4.4, 96% recommended to a friend, 61, 90, 6
 Danone ,www.danone.com,4.1, 82% recommended to a friend, 731, 898, 212
 University of Amsterdam ,www.uva.nl,4.1, 94% recommended to a friend, 65, 84, 8
 FrieslandCampina ,www.frieslandcampina.com,3.5, 71% recommended to a friend, 120, 137, 19
 DSM ,www.dsm.com,3.4, 63% recommended to a friend, 340, 378, 51
 Spotzer ,www.spotzer.com,2.2, 29% recommended to a friend, 102, 40, 13
 Takeaway.com ,www.takeaway.com,3.7, 58% recommended to a friend, 63, 36, 8
 OGD ,www.ogd.nl,3.9, 80% recommended to a friend, 57, 86, 8
 Dell ,www.dell.com,3.8, 77% recommended to a friend, 12k, 15k, 2.3k
 AIESEC ,www.aiesec.org,4.4, 90% recommended to a friend, 809, 46, 161
 Wageningen UR ,www.wageningenur.nl,4.2, 91% recommended to a friend, 59, 55, 6
 Spil Games ,www.spilgames.com,2.8, 39% recommended to a friend, 58, 53, 15
 Kruidvat ,www.werkenbijkruidvat.nl,2.9, 47% recommended to a friend, 59, 41, 10
 Exact ,www.exact.com,3.2, 58% recommended to a friend, 143, 147, 22
 Brunel ,www.brunel.net,3.9, 70% recommended to a friend, 140, 229, 56
 Tommy Hilfiger ,global.tommy.com,3.6, 70% recommended to a friend, 815, 906, 205
 Ministerie van Defensie ,www.werkenbijdefensie.nl,3.7, 71% recommended to a friend, 51, 132, 6
 Procter & Gamble ,www.pg.com,4.0, 81% recommended to a friend, 5.8k, 6.5k, 2.4k
 European Space Agency ,www.esa.int,4.2, 93% recommended to a friend, 88, 96, 30
 Laureate Education ,www.laureate.net,2.6, 38% recommended to a friend, 578, 921, 102
 Suitsupply ,www.suitsupply.com,2.9, 49% recommended to a friend, 130, 129, 37
 DEEN Supermarkten ,www.deen.nl,4.2, 97% recommended to a friend, 45, 11, 2
 Royal HaskoningDHV ,www.royalhaskoningdhv.com,3.6, 79% recommended to a friend, 90, 90, 14
 T-Mobile ,www.tmobile.careers,4.0, 81% recommended to a friend, 7.1k, 9.3k, 1.6k
 Huawei Technologies ,www.huawei.com,3.4, 58% recommended to a friend, 3.9k, 2.3k, 967
 adidas ,www.adidas-group.com,3.8, 72% recommended to a friend, 1.7k, 1.7k, 585
 ServiceNow ,www.servicenow.com,3.5, 63% recommended to a friend, 625, 1.0k, 342
 Mendix ,www.mendix.com,4.9, 99% recommended to a friend, 96, 44, 18
 Veon ,www.veon.com,2.7, 34% recommended to a friend, 67, 26, 10
 Grolsch ,www.grolsch.com,3.7, 71% recommended to a friend, 6, 8, --
 Staples ,www.staples.com,3.1, 48% recommended to a friend, 7.3k, 12k, 1.7k
 NN Group ,www.nn-group.com,3.0, 49% recommended to a friend, 83, 95, 19
 DAF ,www.daf.com,4.2, 89% recommended to a friend, 59, 57, 6
 albelli ,www.albelli-careers.com,4.2, 95% recommended to a friend, 43, 21, 18
 Alliander ,www.alliander.com,3.9, 84% recommended to a friend, 40, 65, 3
 Teleperformance ,www.teleperformance.com,3.4, 62% recommended to a friend, 4.5k, 2.8k, 984
 Bunq ,www.bunq.com,3.6, 62% recommended to a friend, 45, 21, 33
 Hewlett Packard Enterprise | HPE ,www.hpe.com,3.4, 58% recommended to a friend, 8.3k, 9.0k, 1.0k
 Bain & Company ,www.bain.com,4.7, 95% recommended to a friend, 2.3k, 2.5k, 1.1k
 CEVA Logistics ,www.cevalogistics.com,3.0, 43% recommended to a friend, 757, 732, 97
 SDL ,www.sdl.com,3.2, 54% recommended to a friend, 570, 464, 105
 Sligro Food Group ,www.werkenbijsligrofoodgroup.com,3.7, 82% recommended to a friend, 39, 38, 3
 UMC Utrecht ,www.umcutrecht.nl,4.1, 84% recommended to a friend, 39, 41, 3
 Deloitte ,www.deloitte.com,3.8, 79% recommended to a friend, 25k, 65k, 9.5k
 Avery Dennison ,www.averydennison.com,3.3, 54% recommended to a friend, 710, 959, 195
 SABIC ,www.sabic.com,3.5, 64% recommended to a friend, 582, 735, 152
 Tele2 ,www.tele2.com,3.6, 74% recommended to a friend, 105, 75, 14
 Erasmus MC ,www.erasmusmc.nl,4.2, 89% recommended to a friend, 39, 51, 2
 Cargill ,www.cargill.com,3.5, 68% recommended to a friend, 2.0k, 2.8k, 548
 PVH Corp. ,www.pvh.com,3.9, 75% recommended to a friend, 661, 1.1k, 146
 ANWB ,www.werkenbijanwb.nl,3.9, 76% recommended to a friend, 41, 47, 4
 Gemeente Amsterdam ,www.amsterdam.nl,3.5, 73% recommended to a friend, 40, 40, 3
 Centric ,www.centric.eu,3.4, 75% recommended to a friend, 57, 69, 7
 Hamilton Bright ,www.hamiltonbright.com,4.3, 90% recommended to a friend, 46, 29, 11
 Tesla ,www.tesla.com,3.4, 59% recommended to a friend, 1.9k, 3.3k, 1.1k
 Nationale-Nederlanden ,www.nn.nl,3.6, 74% recommended to a friend, 46, 78, 8
 essent ,www.essent.nl,3.7, 73% recommended to a friend, 37, 52, 7
 Blokker ,www.blokker.nl,3.6, 71% recommended to a friend, 36, 25, 2
 UWV ,www.uwv.nl,3.6, 75% recommended to a friend, 35, 67, 1
 FloraHolland ,www.floraholland.com,3.7, 48% recommended to a friend, 34, 25, 5
 Effectory ,www.effectory.com,4.8, 99% recommended to a friend, 34, 13, 2
 Lidl ,www.karriere.lidl,2.9, 40% recommended to a friend, 1.8k, 2.2k, 641
 TNT Express ,www.tnt.com,3.2, 61% recommended to a friend, 260, 277, 47
 Optiver ,www.optiver.com,3.8, 74% recommended to a friend, 165, 220, 363
 Extra Talent ,www.extra-talent.nl,4.6, 99% recommended to a friend, 32, 5, 3
 GE ,www.ge.com,3.6, 68% recommended to a friend, 8.5k, 11k, 2.2k
 L'Oréal ,www.loreal.com,3.7, 74% recommended to a friend, 3.2k, 3.5k, 1.1k
 NetApp ,www.netapp.com,3.6, 57% recommended to a friend, 2.9k, 4.3k, 592
 Palo Alto Networks ,www.paloaltonetworks.com,3.7, 67% recommended to a friend, 357, 408, 211
 Ingenico Group ,www.ingenico.com,3.2, 58% recommended to a friend, 144, 165, 31
 Picnic ,join.picnic.app,3.5, 54% recommended to a friend, 33, 24, 14
 de Bijenkorf ,www.bijenkorf.nl,3.9, 81% recommended to a friend, 32, 31, 7
 Helvoet ,www.helvoet.com,3.7, 66% recommended to a friend, 3, 2, --
 H&M ,www.hm.com,3.4, 62% recommended to a friend, 3.7k, 4.4k, 1.4k
 Juniper Networks ,www.juniper.net,3.7, 69% recommended to a friend, 2.1k, 2.9k, 473
 Dow ,www.dow.com,3.7, 74% recommended to a friend, 1.6k, 2.1k, 546
 HousingAnywhere ,www.housinganywhere.com,4.5, 92% recommended to a friend, 81, 19, 20
 G-Star Raw ,www.g-star.com,2.4, 26% recommended to a friend, 77, 68, 15
 EPO ,www.epo.org,3.2, 30% recommended to a friend, 56, 69, 31
 Nuon ,www.nuon.com,3.7, 73% recommended to a friend, 36, 38, 5
 MediaMonks ,www.mediamonks.com,3.5, 59% recommended to a friend, 34, 38, 6
 Telegraaf Media Groep ,www.tmg.nl,2.7, 28% recommended to a friend, 32, 53, 7
 Enexis ,www.enexisgroep.nl,3.8, 76% recommended to a friend, 31, 31, 4
 Capgemini Consulting ,www.capgemini-consulting.com,3.4, 66% recommended to a friend, 1.2k, 1.3k, 427
 Mobiquity ,www.mobiquityinc.com,3.4, 60% recommended to a friend, 132, 160, 47
 Aramco Overseas ,www.aramcooverseas.com,3.0, 57% recommended to a friend, 61, 36, 3
 Bynder ,www.bynder.com,4.2, 86% recommended to a friend, 49, 35, 38
 ENECO Holding ,www.eneco.nl,3.9, 80% recommended to a friend, 32, 52, 7
 Cygnific BV ,www.cygnific.com,2.8, 61% recommended to a friend, 30, 33, 10
 Universiteit Van Amsterdam ,www.uva.nl,4.0, 85% recommended to a friend, 30, 59, --
 Onboard ,www.onboard.nl,4.5, 88% recommended to a friend, 29, 15, 2
 Tilburg University ,www.tilburguniversity.edu,4.1, 78% recommended to a friend, 32, 32, 5
 GDCC ,www.gdcc.com,2.1, 15% recommended to a friend, 32, 18, 5
 Wolters Kluwer ,www.wolterskluwer.com,3.1, 49% recommended to a friend, 1.7k, 2.3k, 299
 HERE Technologies ,company.here.com,3.6, 67% recommended to a friend, 981, 1.1k, 297
 Amoria Bond ,www.amoriabond.careers,4.3, 81% recommended to a friend, 56, 33, 12
 SAP ,www.sap.com,4.5, 92% recommended to a friend, 8.9k, 11k, 1.8k
 Amgen ,www.amgen.com,3.7, 70% recommended to a friend, 1.8k, 3.6k, 412
 Aegon ,www.aegon.com,3.4, 56% recommended to a friend, 161, 212, 29
 ASR ,www.asrnederland.nl,4.1, 82% recommended to a friend, 28, 43, 1
 Studyportals ,www.studyportals.com,4.2, 71% recommended to a friend, 28, 13, 7
 de Belastingdienst ,www.belastingdienst.nl,3.4, 89% recommended to a friend, 28, 34, 4
 Rijkswaterstaat ,www.rijkswaterstaat.nl,3.7, 75% recommended to a friend, 28, 36, 2
 Talent&Pro ,www.talent-pro.com,4.4, 94% recommended to a friend, 28, 19, 3
 Honeywell ,www.honeywell.com,3.3, 57% recommended to a friend, 6.1k, 8.5k, 1.4k
 Ricoh ,www.ricoh.com,2.8, 37% recommended to a friend, 831, 802, 174
 JACOBS DOUWE EGBERTS ,www.jacobsdouweegberts.com,3.2, 59% recommended to a friend, 51, 44, 18
 Universitair Medisch Centrum Groningen ,www.umcg.nl,4.2, 90% recommended to a friend, 27, 54, 2
 2Contact ,www.2contact.com,4.3, 100% recommended to a friend, 27, 19, 3
 Tzorg ,www.tzorg.nl,3.7, 91% recommended to a friend, 26, 10, 4
 Studentaanhuis.nl ,www.studentaanhuis.nl,4.0, 87% recommended to a friend, 25, 15, 10
 CGI ,www.cgi.com,3.4, 68% recommended to a friend, 5.4k, 8.6k, 1.5k
 Siemens ,www.siemens.com,4.0, 86% recommended to a friend, 6.2k, 8.6k, 1.5k
 Domino's ,jobs.dominos.com,3.4, 60% recommended to a friend, 4.0k, 5.7k, 826
 Royal Bank of Scotland ,jobs.rbs.com,3.6, 65% recommended to a friend, 3.2k, 3.4k, 898
 Eastman ,www.eastman.com,3.9, 74% recommended to a friend, 1.5k, 1.2k, 180
 CB&I ,www.cbi.com,3.2, 55% recommended to a friend, 1.0k, 1.1k, 146
 Vimpelcom ,www.vimpelcom.com,3.7, 72% recommended to a friend, 69, 52, 5
 Robeco ,www.robeco.com,4.5, 85% recommended to a friend, 42, 46, 7
 Radboud University Nijmegen ,www.ru.nl,4.2, 89% recommended to a friend, 27, 46, 5
 Prodrive Technologies ,www.prodrive-technologies.com,4.0, 84% recommended to a friend, 25, 34, 13
 Hogeschool Utrecht ,www.hu.nl,3.0, 62% recommended to a friend, 25, 30, 2
 Holland Casino ,www.hollandcasino.nl,4.2, 79% recommended to a friend, 25, 32, 3
 Dirk ,www.dirk.nl,3.8, 77% recommended to a friend, 25, 16, 6
 Hogeschool van Amsterdam ,www.hva.nl,3.8, 73% recommended to a friend, 24, 23, 2
 Hilton ,www.hilton.com,4.0, 81% recommended to a friend, 3.6k, 6.4k, 906
 Samsung Electronics ,www.samsung.com,3.2, 48% recommended to a friend, 3.6k, 3.0k, 750
 Fujitsu ,www.fujitsu.com,3.1, 52% recommended to a friend, 2.3k, 14k, 419
 Fluor ,www.fluor.com,3.8, 80% recommended to a friend, 1.6k, 1.9k, 240
 Diageo ,www.diageo.com,3.8, 75% recommended to a friend, 1.0k, 799, 262
 Bilfinger Tebodin ,www.tebodin.bilfinger.com,3.3, 71% recommended to a friend, 78, 44, 4
 Delta Lloyd ,www.deltalloyd.com,3.7, 80% recommended to a friend, 35, 65, 1
 Zoomin.TV ,corporate.zoomin.tv,1.9, 31% recommended to a friend, 31, 22, 6
 VUMC ,www.werkenbijvumc.nl,3.9, 86% recommended to a friend, 29, 40, 6
 TMNS ,www.tmns.com,4.1, 100% recommended to a friend, 27, 20, 3
 Hogeschool Rotterdam ,www.hogeschool-rotterdam.nl,3.7, 81% recommended to a friend, 25, 25, 4
 Hotelchamp ,www.hotelchamp.com,4.2, 84% recommended to a friend, 25, 13, 5
 Hoogvliet Super ,www.hoogvliet.com,3.6, 82% recommended to a friend, 24, 11, 1
 Apple ,www.apple.com,4.0, 79% recommended to a friend, 13k, 23k, 6.6k
 Google ,www.google.com,4.4, 89% recommended to a friend, 9.4k, 18k, 8.9k
 Salesforce ,www.salesforce.com,4.3, 88% recommended to a friend, 4.3k, 6.5k, 3.6k
 Expedia ,www.lifeatexpedia.com,3.9, 73% recommended to a friend, 2.7k, 3.8k, 1.1k
 Foot Locker ,www.sneakerjobs.com,3.4, 59% recommended to a friend, 1.3k, 1.6k, 306
 Arcadis ,www.arcadis.com,4.1, 85% recommended to a friend, 909, 1.3k, 158
 Lightspeed ,www.lightspeedhq.com,4.4, 83% recommended to a friend, 154, 123, 48
 APM Terminals ,www.apmterminals.com,3.3, 67% recommended to a friend, 115, 80, 27
 Groupe Pierre & Vacances Center Parcs ,www.groupepvcp.com,3.7, 87% recommended to a friend, 74, 71, 12
 Rituals ,www.rituals.com,3.3, 60% recommended to a friend, 71, 50, 7
 Mise en Place ,www.miseenplace.eu,3.8, 72% recommended to a friend, 47, 29, 9
 Royal BAM Group ,www.bam.com,3.7, 75% recommended to a friend, 34, 64, 6
 pepperminds ,www.pepperminds.nl,4.3, 100% recommended to a friend, 32, 17, 6
 Transavia ,www.transavia.nl,3.9, 92% recommended to a friend, 30, 24, 1
 NIBC ,www.nibc.com,3.7, 78% recommended to a friend, 30, 51, 6
 De Nederlandsche Bank ,www.dnb.nl,3.6, 72% recommended to a friend, 27, 28, 4
 Mirabeau ,www.mirabeau.nl,4.1, 86% recommended to a friend, 25, 23, 2
 VGZ ,www.vgz.nl,4.3, 95% recommended to a friend, 23, 23, --
 Praxis Doe-Het-Zelf Center ,www.praxis.nl,3.6, 79% recommended to a friend, 22, 6, --
 Wipro ,www.wipro.com,3.4, 66% recommended to a friend, 16k, 37k, 3.7k
 Office Depot ,jobs.officedepot.com,3.0, 46% recommended to a friend, 3.9k, 4.8k, 722
 TransPerfect ,www.transperfect.com,2.8, 33% recommended to a friend, 815, 995, 366
 Webhelp ,www.webhelp.com,3.3, 64% recommended to a friend, 406, 247, 82
 Bestseller ,about.bestseller.com,3.7, 71% recommended to a friend, 218, 142, 55
 Royal Ahold ,www.ahold.com,3.1, 64% recommended to a friend, 136, 197, 29
 RES Software ,www.res.com,3.5, 56% recommended to a friend, 101, 33, 16
 Damen Shipyards Group ,www.damen.com,3.3, 58% recommended to a friend, 34, 55, 6
 Tempo-Team ,www.tempo-team.nl,3.9, 83% recommended to a friend, 32, 50, 5
 Stichting Het Robertshuis ,www.hetrobertshuis.nl,2.3, 24% recommended to a friend, 26, 19, 2
 The Student Hotel ,www.thestudenthotel.com,3.6, 67% recommended to a friend, 23, 17, 3
 GfK ,www.gfk.com,3.1, 45% recommended to a friend, 676, 775, 152
 Conclusion ,www.werkenbijconclusion.nl,3.6, 66% recommended to a friend, 22, 29, 7
 Het Nederlands Kanker Instituut ,www.nki.nl,3.8, 83% recommended to a friend, 21, 21, 3
 Convergys ,www.convergys.com,2.9, 48% recommended to a friend, 5.0k, 3.9k, 1.2k
 Medtronic ,www.medtronic.com,3.7, 74% recommended to a friend, 3.0k, 3.9k, 795
 Infor ,www.infor.com,3.4, 65% recommended to a friend, 1.4k, 1.5k, 263
 IDEXX Laboratories ,www.idexx.com,3.3, 58% recommended to a friend, 503, 475, 113
 Heerema Marine Contractors ,hmc.heerema.com,3.9, 88% recommended to a friend, 33, 62, 4
 Boskalis ,werkenbij.boskalis.com,4.1, 84% recommended to a friend, 31, 40, 6
 Virtuagym ,www.virtuagym.com,3.3, 49% recommended to a friend, 27, 11, 7
 Trigion ,www.trigion.nl,3.8, 61% recommended to a friend, 21, 17, 1
 Sharewire ,www.sharewire.nl,5.0, 100% recommended to a friend, 1, --, --
 ZuidZorg ,www.zuidzorg.nl,4.3, 94% recommended to a friend, 20, 9, 4
 SnappCar ,www.snappcar.nl,4.6, 90% recommended to a friend, 20, 6, 2
 Verizon ,www.verizon.jobs,3.5, 65% recommended to a friend, 8.6k, 14k, 1.8k
 Deutsche Bank ,www.db.com,3.4, 59% recommended to a friend, 4.3k, 7.3k, 1.5k
 Merck ,www.merck.com,3.7, 75% recommended to a friend, 3.0k, 4.8k, 587
 Zara ,www.zara.com,3.0, 48% recommended to a friend, 2.1k, 1.6k, 701
 Stryker ,www.stryker.com,3.9, 76% recommended to a friend, 1.9k, 3.4k, 1.2k
 DHL Supply Chain ,www.dhl.com,3.3, 57% recommended to a friend, 1.4k, 1.4k, 272
 Teva Pharmaceuticals ,www.tevapharm.com,3.1, 43% recommended to a friend, 1.0k, 1.6k, 156
 Mindshare ,www.mindshareworld.com,3.7, 74% recommended to a friend, 656, 919, 136
 ENGIE ,www.engie.com,3.2, 61% recommended to a friend, 517, 703, 67
 Océ ,www.oce.com,3.9, 67% recommended to a friend, 254, 241, 39
 TMF Group ,www.tmf-group.com,2.9, 46% recommended to a friend, 201, 81, 21
 Allseas Group ,www.allseas.com,3.5, 69% recommended to a friend, 33, 50, 5
 VDL Groep ,www.vdlgroep.com,3.4, 67% recommended to a friend, 27, 36, 2
 Deltares ,www.deltares.nl,4.1, 80% recommended to a friend, 24, 24, 5
 Leids Universitair Medisch Centrum ,www.lumc.nl,3.8, 85% recommended to a friend, 23, 34, 5
 Avans Hogeschool ,www.avans.nl,4.2, 94% recommended to a friend, 20, 24, 3
 Ambitious People Group ,www.ambitiouspeoplecareers.com,4.9, 100% recommended to a friend, 20, 10, 2
 XITE Networks ,www.xitenetworks.com,4.8, 100% recommended to a friend, 20, 7, --
 Sanquin Bloedvoorziening ,www.sanquin.nl,3.3, 68% recommended to a friend, 19, 19, --
 Amazon ,www.amazon.jobs,3.8, 73% recommended to a friend, 26k, 37k, 17k
 UPS ,www.upsjobs.com,3.4, 61% recommended to a friend, 11k, 12k, 2.4k
 Ericsson-Worldwide ,www.ericsson.com,3.2, 48% recommended to a friend, 8.0k, 8.1k, 1.4k
 Burger King ,www.burgerking.com,3.2, 49% recommended to a friend, 3.7k, 3.7k, 856
 DXC Technology ,www.dxc.technology,2.6, 34% recommended to a friend, 3.7k, 2.0k, 418
 McKinsey & Company ,www.mckinsey.com,4.3, 88% recommended to a friend, 3.0k, 4.4k, 2.0k
 Ipsos ,www.ipsos.com,3.3, 57% recommended to a friend, 1.3k, 1.5k, 310
 Henkel ,www.henkel.com,3.6, 67% recommended to a friend, 1.1k, 1.2k, 284
 Tata Steel ,www.tatasteel.com,4.0, 75% recommended to a friend, 598, 432, 192
 UBM ,www.ubm.com,3.4, 67% recommended to a friend, 489, 530, 76
 LyondellBasell ,www.lyondellbasell.com,3.3, 56% recommended to a friend, 340, 438, 107
 BinckBank ,www.binck.com,3.2, 63% recommended to a friend, 23, 28, 7
 Royal IHC ,www.royalihc.com,3.1, 61% recommended to a friend, 22, 41, 6
 IceMobile ,www.icemobile.com,4.3, 94% recommended to a friend, 21, 18, 11
 ISM eCompany ,www.ism.nl,4.3, 90% recommended to a friend, 21, 15, 2
 Calco ,www.werkenbijcalco.nl,3.9, 94% recommended to a friend, 20, 18, 9
 ProRail ,www.prorail.nl,4.2, 87% recommended to a friend, 19, 26, 2
 Xerox ,www.xerox.com,2.8, 34% recommended to a friend, 6.3k, 7.9k, 1.1k
 Schlumberger ,www.slb.com,3.5, 66% recommended to a friend, 4.7k, 5.4k, 1.9k
 Unisys ,www.unisys.com,3.2, 50% recommended to a friend, 2.2k, 2.3k, 420
 Adecco ,www.adecco.co.uk,2.8, 56% recommended to a friend, 1.7k, 1.4k, 380
 Avanade ,www.avanade.com,3.6, 70% recommended to a friend, 1.3k, 2.3k, 404
 PageGroup ,www.page.com,4.0, 86% recommended to a friend, 1.2k, 857, 548
 LG Electronics ,www.lg.com,3.2, 48% recommended to a friend, 1.1k, 688, 186
 BDO ,www.bdo.global,3.2, 57% recommended to a friend, 1.1k, 1.2k, 437
 British American Tobacco ,www.bat.com,3.9, 76% recommended to a friend, 962, 477, 291
 ALTEN ,www.altenrecrute.fr,3.0, 50% recommended to a friend, 740, 1.0k, 375
 T-Systems ,www.t-systems.com,3.3, 63% recommended to a friend, 641, 1.0k, 106
 Merck KGaA ,www.merckgroup.com,3.7, 71% recommended to a friend, 416, 452, 74
 Extron Electronics ,www.extron.com,2.8, 34% recommended to a friend, 177, 213, 134
 Canon EMEA ,www.canon-europe.com,2.7, 31% recommended to a friend, 160, 143, 22
 International Baccalaureate ,www.ibo.org,3.1, 48% recommended to a friend, 100, 133, 16
 DoubleDutch ,www.doubledutch.me,3.9, 67% recommended to a friend, 98, 131, 52
 Flow Traders ,www.flowtraders.com,4.6, 96% recommended to a friend, 44, 32, 115
 NCI Agency ,www.ncia.nato.int,2.3, 30% recommended to a friend, 39, 33, 6
 Douwe Egberts ,www.douwe-egberts.com,3.3, 74% recommended to a friend, 32, 55, 5
 Ministerie van Buitenlandse Zaken ,www.rijksoverheid.nl,3.6, 86% recommended to a friend, 25, 31, 3
 International Criminal Court (ICC) ,www.icc-cpi.int,2.9, 42% recommended to a friend, 24, 8, 3
 FOM ,www.fom.nl,4.5, 100% recommended to a friend, 21, 37, 2
 Academisch Medisch Centrum ,www.amc.nl,3.7, 80% recommended to a friend, 20, 37, 4
 EclecticIQ ,www.eclecticiq.com,5.0, 100% recommended to a friend, 20, 3, --
 DPA Professionals ,www.dpa.nl,3.1, 47% recommended to a friend, 17, 18, 3
 PepsiCo ,www.pepsico.com,3.4, 63% recommended to a friend, 7.0k, 8.9k, 2.1k
