Company_name,Company_website,Rating_nr,Rating_recommend_to_friend,Number_of_reviews,Number_of_salaries,Number_of_interviews
 Flash Europe International ,www.flash-global.net,4.6, 100% recommended to a friend, 11, 3, --
 Caresharing ,www.caresharing.com,4.0, 82% recommended to a friend, 10, 3, --
 Control Union ,www.controlunion.com,2.8, 34% recommended to a friend, 10, 8, 3
 Waldom Electronics ,www.waldom.com,2.1, 20% recommended to a friend, 9, 9, --
 The Dare ,www.thedarecompany.com,5.0, 100% recommended to a friend, 1, 1, --
 Q8 ,www.q8.com,3.0, 40% recommended to a friend, 9, 15, 1
 Mourik ,www.mourik.com,3.2, 58% recommended to a friend, 8, 10, --
 Stenden University ,www.stenden.com,3.3, 100% recommended to a friend, 8, 4, --
 Maximum Employment Marketing Group ,www.maximum.com,4.2, 100% recommended to a friend, 8, --, --
 SaaSplaza ,www.saasplaza.com,3.4, 87% recommended to a friend, 8, 6, 2
 Xenos ,www.xenos.nl,2.7, 38% recommended to a friend, 8, 9, 2
 Tools4ever ,www.tools4ever.com,3.1, 63% recommended to a friend, 8, 1, 1
 DOCdata ,www.docdatanv.com,2.5, 47% recommended to a friend, 7, 11, 2
 Sonion ,www.sonion.com,4.4, 100% recommended to a friend, 7, 7, 2
 WoodWing Software ,www.woodwing.com,3.5, 54% recommended to a friend, 7, 4, --
 Rijk Zwaan ,www.werkenbijrijkzwaan.nl,4.5, 100% recommended to a friend, 7, 7, 4
 Tamoil ,www.tamoil.com,3.6, 33% recommended to a friend, 7, 13, --
 Q-Park ,www.q-park.nl,3.2, 61% recommended to a friend, 8, 13, --
 Zeelandia ,www.zeelandia-international.com,3.2, 54% recommended to a friend, 7, 5, --
 The Okura Group ,www.okura.com,3.8, 73% recommended to a friend, 7, 2, 1
 ICRON Technologies ,www.icrontech.com,3.2, 59% recommended to a friend, 7, 4, --
 Cordaid ,www.cordaid.nl,3.6, 71% recommended to a friend, 7, 1, 1
 Ctac (Netherlands) ,www.werkenbijctac.nl,3.1, 52% recommended to a friend, 6, 5, --
" NRG (Petten, NL) ",www.nrg.eu,3.6, 83% recommended to a friend, 6, 14, 2
 Randridge ,www.randridge.com,2.9, 68% recommended to a friend, 6, 2, --
 Nspyre ,www.nspyre.nl,3.5, 44% recommended to a friend, 6, 7, --
 First Consulting ,www.firstconsulting.nl,4.7, 100% recommended to a friend, 6, 9, 15
 Eurotrol ,www.eurotrol.com,4.8, 100% recommended to a friend, 6, --, 1
 STAGE ENTERTAINMENT ,www.stage-entertainment.de,3.4, 100% recommended to a friend, 6, 15, --
 Unive ,www.unive.nl,3.8, 28% recommended to a friend, 6, 6, --
 ASA ,www.asatalent.nl,2.5, 30% recommended to a friend, 6, 6, --
 VANMOOF ,www.vanmoof.com,4.4, 80% recommended to a friend, 6, --, --
 Interparking ,www.interparking.com,3.2, 52% recommended to a friend, 6, 7, 2
 MExT ,www.mext.de,2.0, 16% recommended to a friend, 6, 4, 2
 ParkBee ,www.parkbee.com,5.0, 100% recommended to a friend, 6, --, 1
 HECC Alliance ,www.hecc.com,2.4, 48% recommended to a friend, 6, 2, --
 PF Concept ,www.pfconcept.com,2.1, 33% recommended to a friend, 6, 2, 1
 European Media Partner ,www.europeanmediapartner.com,3.6, 64% recommended to a friend, 6, 2, --
 Happeo ,www.happeo.com,4.8, 100% recommended to a friend, 6, --, --
 Aethon ,www.aethon.com,4.0, 100% recommended to a friend, 5, 3, --
 Gaastra International ,www.gaastraproshop.com,2.3, 0% recommended to a friend, 5, 6, 1
 Studio Roosegaarde ,www.studioroosegaarde.net,3.7, 64% recommended to a friend, 5, 1, 1
 VanBerlo ,www.vanberlo.nl,4.4, 100% recommended to a friend, 5, 4, 1
 Xsens Technologies ,www.xsens.com,3.4, 46% recommended to a friend, 5, 4, 3
 TASS International ,www.tassinternational.com,2.6, 39% recommended to a friend, 5, 7, --
 Equiniti ,www.equiniti.com,3.2, 58% recommended to a friend, 157, 146, 34
 T&S Flexwerk ,www.tensflexwerk.nl,2.1, 28% recommended to a friend, 5, 2, --
 SecureLink (NL) ,www.securelink.nl,3.5, 69% recommended to a friend, 5, 6, --
 Ampleon ,www.ampleon.com,4.0, 76% recommended to a friend, 5, 3, 1
 Bavaria ,www.bavariacorporate.com,3.9, 100% recommended to a friend, 4, 5, --
 XS2TheWorld ,www.xs2theworld.com,2.3, 0% recommended to a friend, 4, 7, 1
 Van Berge Henegouwen ,www.vbhi.com,2.0, 23% recommended to a friend, 4, 7, --
 Dolcis ,www.dolcis.nl,3.4, 77% recommended to a friend, 4, 3, --
 Q42 ,www.q42.nl,5.0, 100% recommended to a friend, 4, 3, 1
 Priva BV ,www.priva.nl,4.8, 100% recommended to a friend, 4, 8, 1
 TPA Global ,www.tpa-global.com,2.6, 24% recommended to a friend, 4, 3, 2
 GGD Amsterdam ,www.ggd.amsterdam.nl,3.6, 59% recommended to a friend, 4, 6, 1
 Dealroom.co ,www.dealroom.co,5.0, 100% recommended to a friend, 4, 1, --
 APG Groep ,www.apg.nl,3.1, 0% recommended to a friend, 4, 20, --
 Bakker Groep ,www.bakker-bedrijfswagens.nl,4.5, 100% recommended to a friend, 4, 3, --
 BPD ,www.bpd.nl,4.2, 100% recommended to a friend, 4, 5, --
 Bruynzeel Keukens ,www.werkenbij.bruynzeelkeukens.nl,4.5, 100% recommended to a friend, 4, 8, --
 Den Hartogh ,www.denhartogh.com,4.3, 68% recommended to a friend, 4, 1, 1
 Hessing ,www.hessingsupervers.nl,2.8, 0% recommended to a friend, 4, 4, --
 Huuskes ,www.huuskes.nl,4.5, 100% recommended to a friend, 4, 3, --
 ROCvA ,www.rocva.nl,3.4, 70% recommended to a friend, 4, 2, --
 Wehkamp ,www.wehkamp.nl,4.4, 78% recommended to a friend, 4, 8, 1
 Artiflex ,www.artiflex.com,5.0, 100% recommended to a friend, 4, 3, --
 Studelta ,www.studelta.nl,4.8, 100% recommended to a friend, 4, 1, 2
 QNH ,www.qnh.eu,4.5, 100% recommended to a friend, 4, 10, 2
 Amsterdam Trade Bank ,www.atbank.nl,3.0, 27% recommended to a friend, 4, 5, --
 HAL Allergy ,www.hal-allergy.com,2.9, 100% recommended to a friend, 4, 5, --
 Het Nederlandse Rode Kruis ,www.rodekruis.nl,3.5, 78% recommended to a friend, 4, 1, 1
 Naturalis Biodiversity Center ,www.naturalis.nl,3.3, 76% recommended to a friend, 4, 3, 1
 Rai Amsterdam ,www.rai.nl,3.7, 100% recommended to a friend, 4, 3, 1
 Sensire ,www.sensire.nl,4.5, 100% recommended to a friend, 4, 3, --
 Briddge Legal & Finance ,www.briddge.com,3.9, 79% recommended to a friend, 4, 1, --
 NGTI ,www.ngti.nl,3.9, 80% recommended to a friend, 4, 3, --
 Interconnect Services ,www.interconnect.nl,3.7, 47% recommended to a friend, 4, 3, --
 SAFENED ,www.safened.nl,4.5, 100% recommended to a friend, 4, 1, 1
 Skydreams ,www.skydreams.com,4.3, 100% recommended to a friend, 4, 2, 1
 NLC ,www.nlc.nl,4.8, 100% recommended to a friend, 4, 1, --
 NewSkool ,www.newskool.nl,5.0, 100% recommended to a friend, 4, 3, 1
 MMID ,www.mmid-group.com,4.5, 100% recommended to a friend, 4, --, 1
 Van Caem Klerks Group ,www.caemklerks.com,4.2, 69% recommended to a friend, 4, 2, 3
 Eurofiber Group ,www.eurofibergroup.com,2.8, 45% recommended to a friend, 4, 4, --
 Neocles ,www.neocles.io,3.0, 48% recommended to a friend, 4, 2, --
 Mercedes-Benz Customer Assistance Center Maastricht NV ,cac.mercedes-benz.com,2.5, 65% recommended to a friend, 4, 3, 1
 Openclaims ,www.openclaims.com,4.7, 100% recommended to a friend, 4, --, --
 RIFF ,www.riffonline.com,5.0, 100% recommended to a friend, 4, 2, --
 Fenestrae ,www.fenestrae.com,2.1, 36% recommended to a friend, 3, 2, --
 Saen Options ,www.saen1.sibrenonline.com,2.8, 26% recommended to a friend, 3, 1, 1
 Enexis ,www.enexisgroep.nl,3.8, 76% recommended to a friend, 31, 31, 4
 Royal NIOZ ,www.nioz.nl,2.7, 33% recommended to a friend, 3, 5, 1
 Trans Link Systems ,www.translink.nl,3.1, 45% recommended to a friend, 3, 3, --
 SRON ,www.sron.nl,3.7, 100% recommended to a friend, 3, 6, --
 Valid ,www.valid.nl,2.9, 43% recommended to a friend, 3, 6, --
 Cosun ,www.cosun.nl,4.0, 78% recommended to a friend, 3, 1, 1
 NotuBiz ,www.notubiz.nl,3.4, 32% recommended to a friend, 3, 3, 1
 KPMG ,us-jobs.kpmg.com,3.7, 77% recommended to a friend, 14k, 24k, 5.2k
 Easterseals ,www.easterseals.com,3.4, 64% recommended to a friend, 722, 636, 140
 The Quentin Hotels ,www.quentinhotels.com,3.3, 51% recommended to a friend, 3, 2, --
 NCRV ,www.ncrv.nl,4.3, 100% recommended to a friend, 3, 3, --
 Abroad Experience ,www.abroad-experience.com,3.5, 76% recommended to a friend, 3, --, --
 Top of Minds Executive Search ,www.topofminds.com,5.0, 100% recommended to a friend, 3, 2, 3
 Rijksakademie van Beeldende Kunsten ,www.rijksakademie.nl,5.0, 100% recommended to a friend, 3, --, --
 Paradigit ,www.paradigit.nl,2.0, 32% recommended to a friend, 3, 6, --
 Stichting Studiebegeleiding Leiden ,www.eindexamencursus.nl,4.5, 100% recommended to a friend, 3, 4, --
 Kamer van Koophandel Amsterdam ,www.kvk.nl,2.2, 0% recommended to a friend, 3, 11, --
 CoffeeCompany ,www.coffeecompany.nl,4.0, 100% recommended to a friend, 3, 2, --
 Dation ,www.dation.nl,3.2, 59% recommended to a friend, 3, 2, 1
 Free Record Shop ,www.frs.nl,3.5, 77% recommended to a friend, 3, 2, --
 Amex (Netherlands) ,www.amexoptics.com,3.0, 33% recommended to a friend, 3, --, --
 Blauw Research ,www.blauw.com,4.6, 100% recommended to a friend, 3, 3, --
 Finan Topicus ,www.topicusfinan.com,3.7, 27% recommended to a friend, 3, 1, 1
 CompaNanny ,www.compananny.nl,4.5, 100% recommended to a friend, 3, 1, --
 RedHotMinute ,www.redhotminute.com,3.2, 74% recommended to a friend, 3, 1, --
 Zadkine ,www.zadkine.nl,4.3, 100% recommended to a friend, 3, 1, --
 HTG ,www.bs-htg.com,4.7, 100% recommended to a friend, 3, 5, 2
 Laevo ,www.laevo.nl,5.0, 100% recommended to a friend, 3, 2, --
 Oxyma ,www.oxyma.nl,4.0, 100% recommended to a friend, 3, 4, --
 Grand Hotel Amrth Kurhaus The Hague ,www.amrathkurhaus.com,2.7, 30% recommended to a friend, 3, 5, --
 Nedis ,www.nedis.nl,2.2, 57% recommended to a friend, 3, 6, --
 LINKIT ,www.linkit.nl,5.0, 100% recommended to a friend, 3, 1, 1
 Rivierduinen ,www.rivierduinen.nl,3.7, 65% recommended to a friend, 3, 4, --
 AB Texel ,www.abtexel.nl,4.7, 100% recommended to a friend, 3, 1, --
 AB Werkt ,www.ab-werkt.nl,4.4, 100% recommended to a friend, 3, 2, 1
 Altrecht ,www.altrecht.nl,3.1, 40% recommended to a friend, 3, 4, 1
 Atlant Groep ,www.atlantgroep.nl,3.7, 100% recommended to a friend, 3, 1, --
 Bart Smit ,www.bartsmit.com,3.8, 100% recommended to a friend, 3, 1, --
 Breijer ,www.breijer.nl,4.0, 69% recommended to a friend, 3, 6, --
 Cito ,www.cito.com,2.7, 56% recommended to a friend, 3, 2, --
 D-Reizen ,www.d-reizen.nl,4.7, 100% recommended to a friend, 3, 4, --
 Dutch Flower Group ,www.dfg.nl,3.0, 0% recommended to a friend, 3, 2, --
 Feenstra ,www.feenstra.com,4.0, 100% recommended to a friend, 3, 6, --
 Flevoziekenhuis ,www.flevoziekenhuis.nl,4.7, 100% recommended to a friend, 3, 2, --
 Kinderopvang Humanitas ,www.kinderopvanghumanitas.nl,3.0, 100% recommended to a friend, 3, --, --
 Koning & Hartman ,www.koningenhartman.nl,3.0, 100% recommended to a friend, 3, 7, 2
 Koninklijke Verkade ,www.koninklijkeverkade.nl,3.7, 47% recommended to a friend, 3, 3, --
 Nederlandse Aardolie Maatschappij ,www.nam.nl,3.4, 0% recommended to a friend, 3, 8, --
 Noorderbreedte ,www.noorderbreedte.eu,5.0, 100% recommended to a friend, 3, 3, 1
 Saffier De Residentiegroep ,www.saffierderesidentie.nl,4.0, 100% recommended to a friend, 3, 3, 1
 Sevagram ,www.sevagram.nl,5.0, 100% recommended to a friend, 3, 3, --
 ThuiszorgInHolland ,www.thuiszorginholland.nl,1.3, 0% recommended to a friend, 3, 2, --
 Van Neerbos Bouwmarkten ,www.vanneerbosbouwmarkten.com,3.7, 100% recommended to a friend, 3, 4, --
 Vitens ,www.vitens.nl,4.4, 71% recommended to a friend, 3, 6, 1
 ICM Opleidingen & Trainingen ,www.icm.nl,3.7, 100% recommended to a friend, 3, 2, 1
 Rijksdienst voor Ondernemend Nederland ,www.rvo.nl,3.0, 63% recommended to a friend, 3, 5, --
 WYSE Travel Confederation ,www.wysetc.org,1.0, 0% recommended to a friend, 3, 3, 1
 Joolz ,www.my-joolz.com,2.8, 100% recommended to a friend, 3, 6, 1
 BidMath ,www.bidmath.com,5.0, 100% recommended to a friend, 3, 1, 5
 Thomas Thor Associates ,www.thomas-thor.com,5.0, 100% recommended to a friend, 3, --, 1
 ITSync ,www.itsync.nl,5.0, 100% recommended to a friend, 3, 1, --
 Staedion ,www.staedion.nl,2.2, 41% recommended to a friend, 3, 4, --
 Allerzorg ,www.allerzorg.nl,4.0, 100% recommended to a friend, 3, 3, --
 BumaStemra ,www.bumastemra.nl,3.6, 27% recommended to a friend, 3, 5, 1
 Datlinq ,www.datlinq.nl,5.0, 100% recommended to a friend, 3, 1, --
 ERA Contour ,www.eracontour.nl,4.0, 100% recommended to a friend, 3, 2, --
 FGH Bank ,www.fghbank.nl,3.0, 50% recommended to a friend, 3, 1, --
 Hogeschool Windesheim ,www.windesheim.nl,4.3, 100% recommended to a friend, 3, 6, --
 Intergamma ,www.intergamma.nl,3.1, 62% recommended to a friend, 3, 3, --
 JVH Gaming en Entertainment ,www.jvhgaming.com,2.7, 57% recommended to a friend, 3, 6, --
 Pleyade ,www.pleyade.nl,4.3, 100% recommended to a friend, 3, 3, --
